,postalCode,typeProperty,subtypeProperty,price,typeSale,subtypeSale,BedroomsCount,area,hasFullyEquippedKitchen,kitchenType,isFurnished,fireplaceExists,hasTerrace,terraceSurface,hasGarden,gardenSurface,landSurface,facadeCount,hasSwimmingPool,buildingCondition
102,9600,HOUSE,HOUSE,199900.0,FOR_SALE,BUY_REGULAR,3.0,162.0,0.0,HYPER_EQUIPPED,0,0,1,20.0,0,,94,2.0,0,JUST_RENOVATED
103,7900,HOUSE_GROUP,HOUSE_GROUP,,FOR_SALE,BUY_REGULAR,,,,,0,0,0,,0,,0,,0,
104,4540,HOUSE,HOUSE,215000.0,FOR_SALE,BUY_REGULAR,3.0,120.0,0.0,USA_HYPER_EQUIPPED,0,0,1,,1,240.0,506,3.0,0,GOOD
105,4920,HOUSE,MIXED_USE_BUILDING,215000.0,FOR_SALE,BUY_REGULAR,5.0,208.0,0.0,SEMI_EQUIPPED,0,0,1,117.0,0,,209,3.0,0,TO_RENOVATE
106,4920,HOUSE,HOUSE,215000.0,FOR_SALE,BUY_REGULAR,5.0,208.0,0.0,SEMI_EQUIPPED,0,0,1,117.0,0,,209,3.0,0,TO_RENOVATE
107,4020,HOUSE,TOWN_HOUSE,219000.0,FOR_SALE,BUY_REGULAR,2.0,91.0,0.0,INSTALLED,0,0,1,32.0,1,408.0,587,3.0,0,GOOD
108,7800,HOUSE_GROUP,HOUSE_GROUP,,FOR_SALE,BUY_REGULAR,,,,,0,0,0,,0,,0,,0,
109,4540,HOUSE,HOUSE,229500.0,FOR_SALE,BUY_REGULAR,3.0,120.0,0.0,INSTALLED,0,0,1,25.0,1,150.0,339,4.0,0,GOOD
110,8434,HOUSE_GROUP,HOUSE_GROUP,,FOR_SALE,BUY_REGULAR,,,,,0,0,0,,0,,0,,0,
111,4530,HOUSE,BUNGALOW,235000.0,FOR_SALE,BUY_REGULAR,3.0,140.0,0.0,SEMI_EQUIPPED,0,0,1,,1,1300.0,1423,4.0,0,TO_RENOVATE
112,4050,HOUSE,HOUSE,239000.0,FOR_SALE,BUY_REGULAR,5.0,250.0,0.0,SEMI_EQUIPPED,0,0,1,30.0,1,200.0,296,3.0,0,GOOD
113,4460,HOUSE,HOUSE,239000.0,FOR_SALE,BUY_REGULAR,3.0,175.0,0.0,INSTALLED,0,0,1,15.0,1,175.0,440,4.0,1,JUST_RENOVATED
114,9600,HOUSE,HOUSE,239500.0,FOR_SALE,BUY_REGULAR,4.0,173.0,0.0,INSTALLED,0,0,1,25.0,1,85.0,190,2.0,0,AS_NEW
115,3620,HOUSE_GROUP,HOUSE_GROUP,,FOR_SALE,BUY_REGULAR,,,,,0,0,0,,0,,0,,0,
116,4420,HOUSE,HOUSE,245000.0,FOR_SALE,BUY_REGULAR,3.0,116.0,0.0,USA_HYPER_EQUIPPED,0,0,1,,1,120.0,177,2.0,0,AS_NEW
117,8930,HOUSE_GROUP,HOUSE_GROUP,,FOR_SALE,BUY_REGULAR,,,,,0,0,0,,0,,0,,0,
118,6890,HOUSE_GROUP,HOUSE_GROUP,,FOR_SALE,BUY_REGULAR,,,,,0,0,0,,0,,0,,0,
119,9600,HOUSE,HOUSE,249900.0,FOR_SALE,BUY_REGULAR,4.0,173.0,0.0,HYPER_EQUIPPED,0,0,1,10.0,1,20.0,133,2.0,0,JUST_RENOVATED
120,9052,HOUSE_GROUP,HOUSE_GROUP,,FOR_SALE,BUY_REGULAR,,,,,0,0,0,,0,,0,,0,
121,2440,HOUSE_GROUP,HOUSE_GROUP,,FOR_SALE,BUY_REGULAR,,,,,0,0,0,,0,,0,,0,
122,9600,HOUSE,VILLA,265000.0,FOR_SALE,BUY_REGULAR,3.0,175.0,0.0,HYPER_EQUIPPED,0,0,1,10.0,1,90.0,498,3.0,0,GOOD
123,1601,HOUSE,HOUSE,267000.0,FOR_SALE,BUY_REGULAR,2.0,102.0,0.0,USA_HYPER_EQUIPPED,0,0,1,10.0,1,15.0,81,2.0,0,AS_NEW
124,4837,HOUSE_GROUP,HOUSE_GROUP,,FOR_SALE,BUY_REGULAR,,,,,0,0,0,,0,,0,,0,
125,3840,HOUSE_GROUP,HOUSE_GROUP,,FOR_SALE,BUY_REGULAR,,,,,0,0,0,,0,,0,,0,
126,2370,HOUSE_GROUP,HOUSE_GROUP,,FOR_SALE,BUY_REGULAR,,,,,0,0,0,,0,,0,,0,
127,1080,HOUSE,APARTMENT_BLOCK,275000.0,FOR_SALE,BUY_REGULAR,8.0,270.0,0.0,SEMI_EQUIPPED,0,0,0,,0,,76,2.0,0,TO_RESTORE
128,8470,HOUSE_GROUP,HOUSE_GROUP,,FOR_SALE,BUY_REGULAR,,,,,0,0,0,,0,,0,,0,
129,1357,HOUSE_GROUP,HOUSE_GROUP,,FOR_SALE,BUY_REGULAR,,,,,0,0,0,,0,,0,,0,
130,9600,HOUSE_GROUP,HOUSE_GROUP,,FOR_SALE,BUY_REGULAR,,,,,0,0,0,,0,,0,,0,
131,1330,HOUSE,HOUSE,285000.0,FOR_SALE,BUY_REGULAR,3.0,115.0,0.0,INSTALLED,0,0,1,9.0,0,,164,3.0,0,GOOD
132,2800,HOUSE_GROUP,HOUSE_GROUP,,FOR_SALE,BUY_REGULAR,,,,,0,0,0,,0,,0,,0,
133,4500,HOUSE,MIXED_USE_BUILDING,289000.0,FOR_SALE,BUY_REGULAR,3.0,322.0,0.0,SEMI_EQUIPPED,0,0,1,,1,400.0,492,3.0,0,GOOD
134,6800,HOUSE,HOUSE,295000.0,FOR_SALE,BUY_REGULAR,5.0,460.0,0.0,SEMI_EQUIPPED,0,0,1,10.0,0,,321,2.0,0,TO_BE_DONE_UP
135,8570,HOUSE_GROUP,HOUSE_GROUP,,FOR_SALE,BUY_REGULAR,,,,,0,0,0,,0,,0,,0,
136,9600,HOUSE,MANSION,295000.0,FOR_SALE,BUY_REGULAR,5.0,261.0,0.0,INSTALLED,0,0,1,31.0,1,66.0,279,3.0,0,GOOD
137,5590,HOUSE_GROUP,HOUSE_GROUP,,FOR_SALE,BUY_REGULAR,,,,,0,0,0,,0,,0,,0,
138,2450,HOUSE_GROUP,HOUSE_GROUP,,FOR_SALE,BUY_REGULAR,,,,,0,0,0,,0,,0,,0,
139,1760,HOUSE_GROUP,HOUSE_GROUP,,FOR_SALE,BUY_REGULAR,,,,,0,0,0,,0,,0,,0,
140,3270,HOUSE_GROUP,HOUSE_GROUP,,FOR_SALE,BUY_REGULAR,,,,,0,0,0,,0,,0,,0,
141,2050,HOUSE_GROUP,HOUSE_GROUP,,FOR_SALE,BUY_REGULAR,,,,,0,0,0,,0,,0,,0,
142,2560,HOUSE_GROUP,HOUSE_GROUP,,FOR_SALE,BUY_REGULAR,,,,,0,0,0,,0,,0,,0,
143,6760,HOUSE_GROUP,HOUSE_GROUP,,FOR_SALE,BUY_REGULAR,,,,,0,0,0,,0,,0,,0,
144,2250,HOUSE_GROUP,HOUSE_GROUP,,FOR_SALE,BUY_REGULAR,,,,,0,0,0,,0,,0,,0,
145,3400,HOUSE_GROUP,HOUSE_GROUP,,FOR_SALE,BUY_REGULAR,,,,,0,0,0,,0,,0,,0,
146,4470,HOUSE,HOUSE,335000.0,FOR_SALE,BUY_REGULAR,4.0,140.0,0.0,HYPER_EQUIPPED,0,0,1,40.0,1,1300.0,2013,4.0,0,TO_BE_DONE_UP
147,5100,HOUSE_GROUP,HOUSE_GROUP,,FOR_SALE,BUY_REGULAR,,,,,0,0,0,,0,,0,,0,
148,2300,HOUSE_GROUP,HOUSE_GROUP,,FOR_SALE,BUY_REGULAR,,,,,0,0,0,,0,,0,,0,
149,1930,HOUSE,HOUSE,349000.0,FOR_SALE,BUY_REGULAR,3.0,120.0,0.0,SEMI_EQUIPPED,0,0,1,14.0,1,100.0,171,2.0,0,TO_RENOVATE
150,1420,HOUSE,HOUSE,350000.0,FOR_SALE,BUY_REGULAR,4.0,207.0,0.0,INSTALLED,0,0,1,20.0,1,490.0,585,3.0,0,GOOD
151,2870,HOUSE_GROUP,HOUSE_GROUP,,FOR_SALE,BUY_REGULAR,,,,,0,0,0,,0,,0,,0,
152,9190,HOUSE_GROUP,HOUSE_GROUP,,FOR_SALE,BUY_REGULAR,,,,,0,0,0,,0,,0,,0,
